GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
Overall,2018-19,82,60,22,0.732,46.4,41.7,87.6,0.476,12.9,36.7,0.353,17.2,22.3,0.773,8.9,38.9,47.8,25.0,13.3,7.2,5.7,4.6,18.8,19.4,113.5,8.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2018-19
Overall,2019-20,73,56,17,0.767,45.5,40.8,85.8,0.476,13.0,36.7,0.355,17.3,23.3,0.742,8.9,39.8,48.8,24.4,14.2,6.8,5.5,4.2,18.5,20.5,111.9,9.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2019-20
Overall,2020-21,72,46,26,0.639,46.7,43.4,89.0,0.487,14.0,36.0,0.389,15.7,20.7,0.76,10.0,36.7,46.7,24.7,13.4,7.9,4.5,4.7,16.8,17.8,116.5,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2020-21
