GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
Overall,2013-14,82,38,44,0.463,50.3,38.8,84.7,0.458,9.7,26.8,0.363,17.6,22.6,0.781,9.0,32.5,41.5,25.9,15.9,8.6,4.1,4.5,20.0,20.8,104.9,-0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2013-14
Overall,2014-15,82,60,22,0.732,50.8,40.1,86.2,0.466,10.5,27.7,0.38,17.4,22.3,0.778,9.2,33.6,42.8,27.2,15.0,9.6,4.9,5.2,18.7,20.7,108.2,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2014-15
Overall,2015-16,82,48,34,0.585,49.2,39.3,85.9,0.458,10.1,28.9,0.35,15.9,20.3,0.783,8.4,34.4,42.8,26.1,15.2,9.3,6.0,5.1,19.5,18.6,104.6,3.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2015-16
Overall,2016-17,82,43,39,0.524,49.1,38.6,85.5,0.451,9.0,26.4,0.341,18.3,25.2,0.728,10.4,34.5,44.9,24.0,16.0,8.3,4.9,5.2,18.4,21.9,104.5,-0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2016-17
Overall,2017-18,82,24,58,0.293,48.6,38.6,86.5,0.446,11.3,31.4,0.36,16.0,20.4,0.785,9.2,33.2,42.3,24.0,15.7,7.9,4.3,5.6,19.8,20.5,104.4,-5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,175,2017-18
